trial,mission_id,goal_name,success,duration_sec,distance_m,timestamp
1,M1773983598,room_a,False,0.01,0.0,2026-03-20T10:43:18.679915
1,M1773983598,room_b,False,0.01,0.0,2026-03-20T10:43:19.652946
1,M1773983598,room_c,False,0.0,0.0,2026-03-20T10:43:20.879420
1,M1773983598,dock,False,0.0,0.0,2026-03-20T10:43:21.856171
2,M1773983604,room_a,False,0.01,0.01,2026-03-20T10:43:24.124757
2,M1773983604,room_b,False,0.0,0.0,2026-03-20T10:43:25.287765
2,M1773983604,room_c,False,0.01,0.0,2026-03-20T10:43:26.268265
